epoch: 53, lr: 5.27e-01 - train loss: 9.60e-02 - valid loss: 2.15e-01, valid summary: {'TP': 620729.0, 'TN': 276753.0, 'FP': 47168.0, 'FN': 21350.0, 'FAR': 0.1456157519889064, 'FRR': 0.03325136003513535, 'DER': 0.07634470663478403, 'threshold': 0.5, 'precision': 0.929378332287749, 'recall': 0.966748639964849, 'F-score': 0.9476952249506861, 'MCC': 0.8392460625832635}
epoch: 54, lr: 5.18e-01 - train loss: 9.46e-02 - valid loss: 2.19e-01, valid summary: {'TP': 619773.0, 'TN': 278531.0, 'FP': 45390.0, 'FN': 22306.0, 'FAR': 0.14012675930241816, 'FRR': 0.0347402733931489, 'DER': 0.07535978911370676, 'threshold': 0.5, 'precision': 0.9317610871320122, 'recall': 0.9652597266068355, 'F-score': 0.9482146381465711, 'MCC': 0.8412170339535576}
epoch: 55, lr: 5.09e-01 - train loss: 9.58e-02 - valid loss: 2.11e-01, valid summary: {'TP': 617241.0, 'TN': 282338.0, 'FP': 41583.0, 'FN': 24838.0, 'FAR': 0.12837389363455506, 'FRR': 0.03868371337483333, 'DER': 0.07383564978728857, 'threshold': 0.5, 'precision': 0.9368829915121347, 'recall': 0.9613162866251511, 'F-score': 0.9489423884793871, 'MCC': 0.8444042400391631}
epoch: 56, lr: 5.00e-01 - train loss: 9.55e-02 - valid loss: 2.23e-01, valid summary: {'TP': 622347.0, 'TN': 272923.0, 'FP': 50998.0, 'FN': 19732.0, 'FAR': 0.15743962262403, 'FRR': 0.030731420899919936, 'DER': 0.07900409932199136, 'threshold': 0.5, 'precision': 0.9242617083367229, 'recall': 0.9692685791000645, 'F-score': 0.9462302649183837, 'MCC': 0.8340297245333763}
epoch: 57, lr: 4.91e-01 - train loss: 9.42e-02 - valid loss: 2.16e-01, valid summary: {'TP': 619432.0, 'TN': 279509.0, 'FP': 44412.0, 'FN': 22647.0, 'FAR': 0.1371075046076007, 'FRR': 0.03527136068926043, 'DER': 0.07459777671726982, 'threshold': 0.5, 'precision': 0.933098740065423, 'recall': 0.964728639310724, 'F-score': 0.9486501118366091, 'MCC': 0.8427460572505986}
epoch: 58, lr: 4.82e-01 - train loss: 9.36e-02 - valid loss: 2.20e-01, valid summary: {'TP': 613750.0, 'TN': 284657.0, 'FP': 39264.0, 'FN': 28329.0, 'FAR': 0.12121474063119954, 'FRR': 0.044120739036784505, 'DER': 0.07523650194176942, 'threshold': 0.5, 'precision': 0.9398726520411363, 'recall': 0.9558792609631999, 'F-score': 0.9478083813285996, 'MCC': 0.8419805053813436}
epoch: 59, lr: 4.73e-01 - train loss: 9.41e-02 - valid loss: 2.17e-01, valid summary: {'TP': 617378.0, 'TN': 279539.0, 'FP': 44382.0, 'FN': 24701.0, 'FAR': 0.13701488943291304, 'FRR': 0.038470343991938084, 'DER': 0.07702273454511313, 'threshold': 0.5, 'precision': 0.9329333897485352, 'recall': 0.9615296560080463, 'F-score': 0.9470156974902576, 'MCC': 0.8380188946414736}
epoch: 60, lr: 4.64e-01 - train loss: 9.54e-02 - valid loss: 2.18e-01, valid summary: {'TP': 619898.0, 'TN': 278354.0, 'FP': 45567.0, 'FN': 22181.0, 'FAR': 0.14067318883307534, 'FRR': 0.034545593299266375, 'DER': 0.07542204192141988, 'threshold': 0.5, 'precision': 0.9315260757515281, 'recall': 0.965454406700718, 'F-score': 0.9481868296592696, 'MCC': 0.8410898846948025}
epoch: 61, lr: 4.55e-01 - train loss: 9.33e-02 - valid loss: 2.17e-01, valid summary: {'TP': 618018.0, 'TN': 280541.0, 'FP': 43380.0, 'FN': 24061.0, 'FAR': 0.13392154259834546, 'FRR': 0.03747358191125956, 'DER': 0.07505461522281703, 'threshold': 0.5, 'precision': 0.9344116553119161, 'recall': 0.9625264180887249, 'F-score': 0.9482606904456312, 'MCC': 0.8419057112509928}
epoch: 62, lr: 4.45e-01 - train loss: 9.39e-02 - valid loss: 2.18e-01, valid summary: {'TP': 615929.0, 'TN': 281995.0, 'FP': 41926.0, 'FN': 26150.0, 'FAR': 0.1294327937984839, 'FRR': 0.04072707564022432, 'DER': 0.0758148796557384, 'threshold': 0.5, 'precision': 0.9362686306252755, 'recall': 0.9592729243597601, 'F-score': 0.9476311874295157, 'MCC': 0.840553896892555}
epoch: 63, lr: 4.36e-01 - train loss: 9.41e-02 - valid loss: 2.11e-01, valid summary: {'TP': 614446.0, 'TN': 284523.0, 'FP': 39398.0, 'FN': 27633.0, 'FAR': 0.12162842174480439, 'FRR': 0.043036760274046605, 'DER': 0.07456430644438157, 'threshold': 0.5, 'precision': 0.9397440368038715, 'recall': 0.9569632397259378, 'F-score': 0.9482754762435731, 'MCC': 0.8432404943274106}
epoch: 64, lr: 4.27e-01 - train loss: 9.24e-02 - valid loss: 2.15e-01, valid summary: {'TP': 620978.0, 'TN': 277507.0, 'FP': 46414.0, 'FN': 21101.0, 'FAR': 0.14328802393175671, 'FRR': 0.032863557288121355, 'DER': 0.07514315764870783, 'threshold': 0.5, 'precision': 0.9304546653241134, 'recall': 0.967136442711863, 'F-score': 0.9484410116757073, 'MCC': 0.8416274275739096}
epoch: 65, lr: 4.18e-01 - train loss: 9.29e-02 - valid loss: 2.20e-01, valid summary: {'TP': 616354.0, 'TN': 282237.0, 'FP': 41684.0, 'FN': 25725.0, 'FAR': 0.1286856980560035, 'FRR': 0.040065163321023736, 'DER': 0.0750163311228348, 'threshold': 0.5, 'precision': 0.9366541142000775, 'recall': 0.9599348366789606, 'F-score': 0.948151589433874, 'MCC': 0.8421141036951937}
